Day,Date,Daily new confirmed cases,Total confirmed cases,Daily new deaths,Total deaths,Daily new recovered,Total recovered,Daily New Tests,Total Tests,Active Cases
1,2020-03-08,3,3,0,0,0,0,9,120,3
2,2020-03-09,0,3,0,0,0,0,7,127,3
3,2020-03-10,0,3,0,0,0,0,10,137,3
4,2020-03-11,0,3,0,0,2,2,10,147,1
5,2020-03-12,0,3,0,0,0,2,16,163,1
6,2020-03-13,0,3,0,0,0,2,24,187,1
7,2020-03-14,0,3,0,0,0,2,24,211,1
8,2020-03-15,2,5,0,0,0,2,30,241,3
9,2020-03-16,3,8,0,0,1,3,27,268,5
10,2020-03-17,2,10,0,0,0,3,49,317,7
11,2020-03-18,4,14,1,1,0,3,10,327,10
12,2020-03-19,3,17,0,1,0,3,46,373,13
13,2020-03-20,3,20,0,1,0,3,36,409,16
14,2020-03-21,4,24,1,2,0,3,90,499,19
15,2020-03-22,3,27,0,2,2,5,65,564,20
16,2020-03-23,6,33,1,3,0,5,56,620,25
17,2020-03-24,6,39,1,4,0,5,92,712,30
18,2020-03-25,0,39,1,5,0,5,82,794,29
19,2020-03-26,5,44,0,5,6,11,126,920,28
20,2020-03-27,4,48,0,5,0,11,106,1026,32
21,2020-03-28,0,48,0,5,4,15,50,1076,28
22,2020-03-29,0,48,0,5,0,15,109,1185,28
23,2020-03-30,1,49,0,5,4,19,153,1338,25
24,2020-03-31,2,51,0,5,6,25,264,1602,21
25,2020-04-01,3,54,1,6,1,26,157,1759,22
26,2020-04-02,2,56,0,6,0,26,141,1900,24
27,2020-04-03,5,61,0,6,0,26,180,2080,29
28,2020-04-04,9,70,2,8,4,30,434,2514,32
29,2020-04-05,18,88,1,9,3,33,367,2881,46
30,2020-04-06,35,123,3,12,0,33,468,3349,78
31,2020-04-07,41,164,5,17,0,33,792,4141,114
32,2020-04-08,54,218,3,20,0,33,981,5122,165
33,2020-04-09,112,330,1,21,0,33,905,6175,276
34,2020-04-10,94,426,6,27,0,33,1148,7359,364
35,2020-04-11,58,482,3,30,3,36,954,8313,416
36,2020-04-12,139,621,4,34,3,39,1340,9653,548
37,2020-04-13,182,803,5,39,3,42,1570,11223,722
38,2020-04-14,209,1012,7,46,0,42,1905,13128,924
39,2020-04-15,219,1231,4,50,7,49,1740,14868,1132
40,2020-04-16,341,1572,10,60,0,49,2019,16887,1463
41,2020-04-17,266,1838,15,75,9,58,2190,19077,1705
42,2020-04-18,306,2144,9,84,8,66,2114,21191,1994
43,2020-04-19,312,2456,7,91,9,75,2634,23825,2290
44,2020-04-20,492,2948,10,101,10,85,2779,26604,2762
45,2020-04-21,434,3382,9,110,2,87,2974,29578,3185
46,2020-04-22,390,3772,10,120,5,92,3096,32674,3562
47,2020-04-23,414,4186,7,127,16,108,3416,36090,3951
48,2020-04-24,503,4689,4,131,4,112,3686,39776,4446
49,2020-04-25,309,4998,9,140,1,113,3337,43113,4746
50,2020-04-26,418,5416,5,145,9,122,3476,46589,5149
51,2020-04-27,497,5913,7,152,9,131,3812,50401,5630
52,2020-04-28,549,6462,3,155,8,139,4332,54733,6168
53,2020-04-29,641,7103,8,163,11,150,4968,59701,6790
54,2020-04-30,564,7667,5,168,10,160,4965,64666,7339
55,2020-05-01,571,8238,2,170,14,174,5573,70239,7894
56,2020-05-02,552,8790,5,175,3,177,5827,76066,8438
57,2020-05-03,665,9455,2,177,886,1063,5368,81434,8215
58,2020-05-04,688,10143,5,182,147,1210,6260,87694,8751
59,2020-05-05,786,10929,1,183,193,1403,5711,93405,9343
